1,malisheve,Malisheve
2,prizren,Prizren
3,zubinpotok,Zubin Potok
4,kamenice,Kamenice
5,viti,Viti
6,shterpce,Shterpce
7,shtime,Shtime
8,vushtrri,Vushtrri
9,dragash,Dragash
10,podujeve,Podujeve
11,fushekosove,Fushe Kosove
12,kacanik,Kacanik
13,kline,Kline
14,leposaviq,Leposaviq
15,peje,Peje
16,rahovec,Rahovec
17,gjilan,Gjilan
18,lipjan,Lipjan
19,obiliq,Obiliq
20,gjakove,Gjakove
21,pristina,Pristina
22,decan,Decan
23,istog,Istog
24,haniielezit,Hani i Elezit
25,junik,Junik
26,kllokot,Kllokot
27,mamushe,Mamushe
28,partesh,Partesh
29,ranillug,Ranillug
30,ferizaj,Ferizaj
31,zvecan,Zvecan
32,suhareke,Suhareke
33,gllogovc,Gllogovc
34,mitrovice,Mitrovice
35,skenderaj,Skenderaj
36,novoberde,Novoberde
37,gracanice,Gracanice
38,longyearbyen,Longyearbyen
39,sanaa,Sanaa
40,marib,Marib
41,aljabin,Al Jabin
42,hajjah,Hajjah
43,ibb,Ibb
44,alhudaydah,Al Hudaydah
45,lahij,Lahij
46,almahwit,Al Mahwit
47,taizz,Taizz
48,sadah,Sadah
49,dhamar,Dhamar
50,amran,`Amran
51,addali,Ad Dali`
52,saywun,Saywun
53,albayda,Al Bayda
54,zinjibar,Zinjibar
55,rida,Rida
56,ataq,'Ataq
57,alghaydah,Al Ghaydah
58,sayhut,Sayhut
59,almukalla,Al Mukalla
60,alhazm,Al Hazm
61,zabid,Zabid
62,aden,Aden
63,hadiboh,Hadiboh
64,ashshihr,Ash Shihr
65,dzaoudzi,Dzaoudzi
66,pretoria,Pretoria
67,lebowakgomo,Lebowakgomo
68,potchefstroom,Potchefstroom
69,graaffreinet,Graaff Reinet
70,rustenburg,Rustenburg
71,brandfort,Brandfort
72,vryheid,Vryheid
73,vereeniging,Vereeniging
74,brits,Brits
75,bethlehem,Bethlehem
76,ubomba,Ubomba
77,polokwane,Polokwane
78,springbok,Springbok
79,thohoyandou,Thohoyandou
80,pietermaritzburg,Pietermaritzburg
81,poffader,Poffader
82,carnarvon,Carnarvon
83,kroonstad,Kroonstad
84,alexanderbay,Alexander Bay
85,bloemhof,Bloemhof
86,hermanus,Hermanus
87,bethal,Bethal
88,upington,Upington
89,tzaneen,Tzaneen
90,vanhynsdorp,Vanhynsdorp
91,musina,Musina
92,kimberley,Kimberley
93,durban,Durban
94,klerksdorp,Klerksdorp
95,welkom,Welkom
96,deaar,De Aar
97,prieska,Prieska
98,saldanha,Saldanha
99,middelburg,Middelburg
100,portsaintjohns,Port St. Johns
101,volksrust,Volksrust
102,ulundi,Ulundi
103,beaufortwest,Beaufort West
104,komatipoort,Komatipoort
105,nelspruit,Nelspruit
106,standerton,Standerton
107,johannesburg,Johannesburg
108,kuruman,Kuruman
109,paarl,Paarl
110,worcester,Worcester
111,colesberg,Colesberg
112,umtata,Umtata
113,aliwalnorth,Aliwal North
114,middelburg,Middelburg
115,springs,Springs
116,benoni,Benoni
117,portshepstone,Port Shepstone
118,oudtshoorn,Oudtshoorn
119,portelizabeth,Port Elizabeth
120,portalfred,Port Alfred
121,eastlondon,East London
122,mosselbay,Mossel Bay
123,vryburg,Vryburg
124,uitenhage,Uitenhage
125,bhisho,Bhisho
126,knysna,Knysna
127,queenstown,Queenstown
128,cradock,Cradock
129,bredasdorp,Bredasdorp
130,swellendam,Swellendam
131,ladysmith,Ladysmith
132,george,George
133,grahamstown,Grahamstown
134,mmabatho,Mmabatho
135,mahikeng,Mahikeng
136,bloemfontein,Bloemfontein
137,capetown,Cape Town
138,zambezi,Zambezi
139,solwezi,Solwezi
140,lusaka,Lusaka
141,kaoma,Kaoma
142,chipata,Chipata
143,senanga,Senanga
144,sesheke,Sesheke
145,chililabombwe,Chililabombwe
146,chingola,Chingola
147,kasempa,Kasempa
148,kitwe,Kitwe
149,mufulira,Mufulira
150,nchelenge,Nchelenge
151,mazabuka,Mazabuka
152,lukulu,Lukulu
153,kafue,Kafue
154,lundazi,Lundazi
155,mansa,Mansa
156,mwinilunga,Mwinilunga
157,mumbwa,Mumbwa
158,kalabo,Kalabo
159,nyimba,Nyimba
160,kapirimposhi,Kapiri Mposhi
161,kabwe,Kabwe
162,ndola,Ndola
163,kasama,Kasama
164,mbala,Mbala
165,kawambwa,Kawambwa
166,luanshya,Luanshya
167,mongu,Mongu
168,mpika,Mpika
169,chinsali,Chinsali
170,livingstone,Livingstone
171,choma,Choma
172,plumtree,Plumtree
173,kariba,Kariba
174,hwange,Hwange
175,chiredzi,Chiredzi
176,mazowe,Mazowe
177,zvishavane,Zvishavane
178,shamva,Shamva
179,harare,Harare
180,kwekwe,Kwekwe
181,kadoma,Kadoma
182,gwanda,Gwanda
183,chinhoyi,Chinhoyi
184,beitbridge,Beitbridge
185,mutare,Mutare
186,gweru,Gweru
187,karoi,Karoi
188,masvingo,Masvingo
189,bulawayo,Bulawayo
190,victoriafalls,Victoria Falls
191,chitungwiza,Chitungwiza
192,maqat,Maqat
193,zhangaozen,Zhangaozen
194,taraz,Taraz
195,shymkent,Shymkent
196,oral,Oral
197,balqash,Balqash
198,zaysan,Zaysan
199,oytal,Oytal
200,zholymbet,Zholymbet
201,serebryansk,Serebryansk
202,chapaev,Chapaev
203,ridder,Ridder
204,zhaltyr,Zhaltyr
205,atbasar,Atbasar
206,aqsay,Aqsay
207,shemonaikha,Shemonaikha
208,atasu,Atasu
209,rudny,Rudny
210,makhambet,Makhambet
211,fortshevchenko,Fort Shevchenko
212,qusmuryn,Qusmuryn
213,oktyabrsk,Oktyabrsk
214,khromtau,Khromtau
215,algha,Algha
216,embi,Embi
217,ushtobe,Ushtobe
218,burylbaytal,Burylbaytal
219,zhanibek,Zhanibek
220,esil,Esil
221,derzhavinsk,Derzhavinsk
222,saryshaghan,Saryshaghan
223,turgay,Turgay
224,sarqan,Sarqan
225,arqalyq,Arqalyq
226,shalqar,Shalqar
227,shieli,Shieli
228,bayghanin,Bayghanin
229,zhezqazghan,Zhezqazghan
230,mangyshlak,Mangyshlak
231,zhosaly,Zhosaly
232,beyneu,Beyneu
233,qazaly,Qazaly
234,aral,Aral
235,ayakoz,Ayakoz
236,urzhar,Urzhar
237,qapshaghay,Qapshaghay
238,esik,Esik
239,turkistan,Turkistan
240,qaratau,Qaratau
241,sharbaqty,Sharbaqty
242,oostanay,Oostanay
243,kachiry,Kachiry
244,kishkenekol,Kishkenekol
245,bulaevo,Bulaevo
246,shonzhy,Shonzhy
247,qyzylorda,Qyzylorda
248,qaraghandy,Qaraghandy
249,ertis,Ertis
250,tayynsha,Tayynsha
251,qulan,Qulan
252,shu,Shu
253,kentau,Kentau
254,oskemen,Oskemen
255,aqtau,Aqtau
256,taldyqorghan,Taldyqorghan
257,astana,Astana
258,aqtobe,Aqtobe
259,kokshetau,Kokshetau
260,petropavlovsk,Petropavlovsk
261,pavlodar,Pavlodar
262,otar,Otar
263,almaty,Almaty
264,bestobe,Bestobe
265,arys,Arys
266,lenger,Lenger
267,aqsu,Aqsu
268,temirtau,Temirtau
269,makinsk,Makinsk
270,osakarovka,Osakarovka
271,qarqaraly,Qarqaraly
272,ekibastuz,Ekibastuz
273,zyryanovsk,Zyryanovsk
274,komsomolets,Komsomolets
275,baykonur,Baykonur
276,erymentau,Erymentau
277,qarazhal,Qarazhal
278,tobol,Tobol
279,shar,Shar
280,semey,Semey
281,boralday,Boralday
282,zhetiqara,Zhetiqara
283,aqadyr,Aqadyr
284,zharkent,Zharkent
285,qulsary,Qulsary
286,balyqshy,Balyqshy
287,atyrau,Atyrau
288,xiangkhoang,Xiangkhoang
289,muangphonsavan,Muang Phonsavan
290,vientiane,Vientiane
291,banhouayxay,Ban Houayxay
292,muangphonhong,Muang Phon-Hong
293,louangnamtha,Louang Namtha
294,phongsali,Phongsali
295,thakhek,Thakhek
296,muangpakxan,Muang Pakxan
